,title,year,genre,mix,bpm,artist
249,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
250,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
251,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
252,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
253,Feel So,2019,House,PO Clean Edit,124,Zeds Dead x Funkin Matt ft. Fiora
254,Concrete Wall,2012,Rock,—,84,Zee Avi
255,I Feel So Good,2012,—,Jaymz Nylon Remix,120,Ze ft. Jay Rodriguez
256,Estupidamente Apaixonado,2019,Bachata,—,118,Zehenrique ft. Hector Acosta El Torito
257,Faith & Hope,2015,Rock,—,84,Zeke Duhon
258,Folsom Prison Blues,2013,Rock,—,112,Zeke Duhon
259,Aah,2018,Electronic,—,128,Zekel Healthcare
260,Dos Novias,2018,Dance,Single,127,Zekel Healthcare
261,Prayer Chain,2016,Gospel,EP,95,Zekel Healthcare
262,Regret,2014,Dance,Director's Cut - EXPLICIT,128,Zeke Thomas
263,Regret,2014,Dance,—,128,Zeke Thomas
264,Regret,2014,—,* *,128,Zeke Thomas
265,Regret,2014,Dance,Radio Edit,128,Zeke Thomas
266,Regret,2014,—,Erik Floyd & Owen Ryan Remix,128,Zeke Thomas
267,Regret,2014,Dance,Director's Cut - EXPLICIT,128,Zeke Thomas
268,Regret,2014,Dance,—,128,Zeke Thomas
269,Regret,2014,—,* *,128,Zeke Thomas
270,Regret,2014,Dance,Radio Edit,128,Zeke Thomas
271,Regret,2014,—,Erik Floyd & Owen Ryan Remix,128,Zeke Thomas
272,Regret,2014,Dance,Director's Cut - EXPLICIT,128,Zeke Thomas
273,Regret,2014,Dance,—,128,Zeke Thomas
274,Regret,2014,—,* *,128,Zeke Thomas
275,Regret,2014,Dance,Radio Edit,128,Zeke Thomas
276,Regret,2014,—,Erik Floyd & Owen Ryan Remix,128,Zeke Thomas
277,Hypnotic,2015,Alternative,—,80,Zella Day
